"Year","Month","Crude Oil Price","Production","Crude Oil Export"
"2019","12","68.56","1.96","1.51",
"2020","1","66.68","2.07","1.62",
"2020","2","58.45","2.07","1.62",
"2020","3","32.29","2.04","1.59",
"2020","4","14.28","2.04","1.59",
"2020","5","27.9","1.75","1.3",
"2020","6","40.3","1.69","1.24",
"2020","7","44.1","1.65","1.2",
"2020","8","45.06","1.65","1.2",
"2020","9","40.85","1.54","1.09",
"2020","10","39.74","1.61","1.16",
"2020","11","42.7","1.54","1.09",
"2020","12","50.33","1.42","0.97",
"2021","1","54.87","1.36","0.91",
"2021","2","62.48","1.42","0.97",
"2021","3","65.62","1.43","0.98",
"2021","4","64.3","1.37","0.92",
"2021","5","67.83","1.34","0.89",
"2021","6","73.46","1.31","0.86",
"2021","7","75.93","1.32","0.87",
"2021","8","70.72","1.24","0.79",
"2021","9","74.55","1.25","0.8",
"2021","10","84.11","1.23","0.78",
"2021","11","82.16","1.23","0.78",
"2021","12","65.41","1.2","0.75",
"2022","1","88.71","1.4","0.95",
"2022","2","99.64","1.26","0.81",
"2022","3","121.23","1.24","0.79",
"2022","4","106.51","1.22","0.77",
"2022","5","116.72","1.02","0.57",
"2022","6","130.1","1.16","0.71",
"2022","7","120.54","1.08","0.63",
"2022","8","106.34","0.97","0.52",
"2022","9","93.25","0.94","0.49",
